TimeStep,Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0.05,0,0,0,0,0,0,-1.0283e-08
0,0.05,0.05,0,0,0,0,0,-0.00044896
0,0.05,0.1,0,0,0,0,0,-0.0010171
0,0.05,0.15,0,0,0,0,0,-0.0008904
0,0.05,0.2,0,0,0,0,0,-1.6295e-05
0,0.05,0.25,0,0,0,0,0,0.001617
0,0.05,0.3,0,0,0,0,0,0.0039892
0,0.05,0.35,0,0,0,0,0,0.0070681
0,0.05,0.4,0,0,0,0,0,0.01082
0,0.05,0.45,0,0,0,0,0,0.015212
0,0.05,0.5,0,0,0,0,0,0.020205
0,0.05,0.55,0,0,0,0,0,0.025759
0,0.05,0.6,0,0,0,0,0,0.03183
0,0.05,0.65,0,0,0,0,0,0.03837
0,0.05,0.7,0,0,0,0,0,0.045328
0,0.05,0.75,0,0,0,0,0,0.05265
0,0.05,0.8,0,0,0,0,0,0.060281
0,0.05,0.85,0,0,0,0,0,0.068161
0,0.05,0.9,0,0,0,0,0,0.076231
0,0.05,0.95,0,0,0,0,0,0.084429
0,0.05,1,0,0,0,0,0,0.092694
0,0.05,1.05,0,0,0,0,0,0.10096
0,0.05,1.1,0,0,0,0,0,0.10917
0,0.05,1.15,0,0,0,0,0,0.11726
0,0.05,1.2,0,0,0,0,0,0.12516
0,0.05,1.25,0,0,0,0,0,0.13282
0,0.05,1.3,0,0,0,0,0,0.14018
0,0.05,1.35,0,0,0,0,0,0.14718
0,0.05,1.4,0,0,0,0,0,0.15376
0,0.05,1.45,0,0,0,0,0,0.15988
0,0.05,1.5,0,0,0,0,0,0.16547
0,0.05,1.55,0,0,0,0,0,0.17051
0,0.05,1.6,0,0,0,0,0,0.17494
0,0.05,1.65,0,0,0,0,0,0.17874
0,0.05,1.7,0,0,0,0,0,0.18185
0,0.05,1.75,0,0,0,0,0,0.18426
0,0.05,1.8,0,0,0,0,0,0.18592
0,0.05,1.85,0,0,0,0,0,0.18682
0,0.05,1.9,0,0,0,0,0,0.18697
0,0.05,1.95,0,0,0,0,0,0.18641
0,0.05,2,0,0,0,0,0,0.18597
0,0.05,0,0.05,0,0,0,0,0.00043546
0,0.05,0.05,0.05,0,-0.00017429,0.00017373,0,-1.4727e-05
0,0.05,0.1,0.05,0,-0.00055472,0.0003258,0,-0.00055005
0,0.05,0.15,0.05,0,-0.0010928,0.00039829,0,-0.0003621
0,0.05,0.2,0.05,0,-0.0016786,0.00041884,0,0.00054821
0,0.05,0.25,0.05,0,-0.0022703,0.00041616,0,0.0021885
0,0.05,0.3,0.05,0,-0.0028505,0.0004041,0,0.0045504
0,0.05,0.35,0.05,0,-0.0034107,0.00038771,0,0.0076095
0,0.05,0.4,0.05,0,-0.003946,0.00036851,0,0.011336
0,0.05,0.45,0.05,0,-0.0044523,0.00034688,0,0.015697
0,0.05,0.5,0.05,0,-0.0049265,0.000323,0,0.020656
0,0.05,0.55,0.05,0,-0.0053652,0.00029701,0,0.026174
0,0.05,0.6,0.05,0,-0.0057657,0.00026908,0,0.032205
0,0.05,0.65,0.05,0,-0.0061254,0.00023942,0,0.038703
0,0.05,0.7,0.05,0,-0.0064419,0.00020822,0,0.045618
0,0.05,0.75,0.05,0,-0.0067133,0.0001757,0,0.052894
0,0.05,0.8,0.05,0,-0.0069379,0.00014208,0,0.060478
0,0.05,0.85,0.05,0,-0.0071143,0.00010758,0,0.06831
0,0.05,0.9,0.05,0,-0.0072414,7.2417e-05,0,0.076331
0,0.05,0.95,0.05,0,-0.0073184,3.6796e-05,0,0.084479
0,0.05,1,0.05,0,-0.0073449,9.3557e-07,0,0.092694
0,0.05,1.05,0.05,0,-0.0073207,-3.495e-05,0,0.10091
0,0.05,1.1,0.05,0,-0.0072458,-7.0646e-05,0,0.10907
0,0.05,1.15,0.05,0,-0.0071208,-0.00010594,0,0.11711
0,0.05,1.2,0.05,0,-0.0069463,-0.0001406,0,0.12497
0,0.05,1.25,0.05,0,-0.0067233,-0.00017442,0,0.13258
0,0.05,1.3,0.05,0,-0.0064533,-0.00020718,0,0.13989
0,0.05,1.35,0.05,0,-0.0061379,-0.00023865,0,0.14685
0,0.05,1.4,0.05,0,-0.0057789,-0.0002686,0,0.15339
0,0.05,1.45,0.05,0,-0.0053788,-0.00029683,0,0.15946
0,0.05,1.5,0.05,0,-0.0049401,-0.00032312,0,0.16502
0,0.05,1.55,0.05,0,-0.0044656,-0.0003473,0,0.17003
0,0.05,1.6,0.05,0,-0.0039585,-0.00036921,0,0.17443
0,0.05,1.65,0.05,0,-0.0034222,-0.00038868,0,0.1782
0,0.05,1.7,0.05,0,-0.0028605,-0.00040532,0,0.18129
0,0.05,1.75,0.05,0,-0.0022786,-0.0004176,0,0.18368
0,0.05,1.8,0.05,0,-0.001685,-0.00042047,0,0.18535
0,0.05,1.85,0.05,0,-0.0010971,-0.00040005,0,0.18629
0,0.05,1.9,0.05,0,-0.00055683,-0.00032758,0,0.18649
0,0.05,1.95,0.05,0,-0.00017479,-0.0001749,0,0.18597
0,0.05,2,0.05,0,0,0,0,0.18553
0,0.05,0,0.1,0,0,0,0,0.00098237
0,0.05,0.05,0.1,0,-0.00032847,0.00055465,0,0.00049282
0,0.05,0.1,0.1,0,-0.00094296,0.00093654,0,-4.9072e-05
0,0.05,0.15,0.1,0,-0.0017749,0.0011159,0,0.00020551
0,0.05,0.2,0.1,0,-0.0026715,0.0011701,0,0.0011624
0,0.05,0.25,0.1,0,-0.0035755,0.0011647,0,0.0028146
0,0.05,0.3,0.1,0,-0.0044631,0.001133,0,0.005167
0,0.05,0.35,0.1,0,-0.0053212,0.0010882,0,0.0082047
0,0.05,0.4,0.1,0,-0.0061413,0.0010347,0,0.011902
0,0.05,0.45,0.1,0,-0.0069174,0.00097408,0,0.016229
0,0.05,0.5,0.1,0,-0.007644,0.00090691,0,0.021151
0,0.05,0.55,0.1,0,-0.0083163,0.00083377,0,0.026627
0,0.05,0.6,0.1,0,-0.0089299,0.00075521,0,0.032615
0,0.05,0.65,0.1,0,-0.0094807,0.00067179,0,0.039066
0,0.05,0.7,0.1,0,-0.0099654,0.0005841,0,0.045932
0,0.05,0.75,0.1,0,-0.010381,0.00049276,0,0.053159
0,0.05,0.8,0.1,0,-0.010725,0.00039836,0,0.060691
0,0.05,0.85,0.1,0,-0.010994,0.00030151,0,0.06847
0,0.05,0.9,0.1,0,-0.011189,0.0002028,0,0.076437
0,0.05,0.95,0.1,0,-0.011306,0.00010285,0,0.084532
0,0.05,1,0.1,0,-0.011347,2.2391e-06,0,0.092692
0,0.05,1.05,0.1,0,-0.011309,-9.8432e-05,0,0.10086
0,0.05,1.1,0.1,0,-0.011194,-0.00019857,0,0.10896
0,0.05,1.15,0.1,0,-0.011003,-0.00029756,0,0.11695
0,0.05,1.2,0.1,0,-0.010735,-0.00039482,0,0.12475
0,0.05,1.25,0.1,0,-0.010394,-0.00048972,0,0.13231
0,0.05,1.3,0.1,0,-0.0099802,-0.00058164,0,0.13958
0,0.05,1.35,0.1,0,-0.0094969,-0.00066997,0,0.14648
0,0.05,1.4,0.1,0,-0.008947,-0.00075409,0,0.15297
0,0.05,1.45,0.1,0,-0.008334,-0.00083338,0,0.15901
0,0.05,1.5,0.1,0,-0.0076616,-0.00090726,0,0.16453
0,0.05,1.55,0.1,0,-0.0069345,-0.00097515,0,0.16949
0,0.05,1.6,0.1,0,-0.0061574,-0.0010365,0,0.17386
0,0.05,1.65,0.1,0,-0.0053358,-0.0010907,0,0.1776
0,0.05,1.7,0.1,0,-0.0044758,-0.0011361,0,0.18067
0,0.05,1.75,0.1,0,-0.0035859,-0.0011683,0,0.18306
0,0.05,1.8,0.1,0,-0.0026793,-0.0011741,0,0.18474
0,0.05,1.85,0.1,0,-0.00178,-0.0011201,0,0.18571
0,0.05,1.9,0.1,0,-0.00094549,-0.00094029,0,0.18599
0,0.05,1.95,0.1,0,-0.00032916,-0.00055692,0,0.18545
0,0.05,2,0.1,0,0,0,0,0.18497
0,0.05,0,0.15,0,0,0,0,0.00084975
0,0.05,0.05,0.15,0,-0.00040783,0.0010996,0,0.00028689
0,0.05,0.1,0.15,0,-0.0011437,0.0017734,0,-0.00033928
0,0.05,0.15,0.15,0,-0.0021242,0.0020833,0,-8.8902e-05
0,0.05,0.2,0.15,0,-0.0031731,0.0021779,0,0.00088107
0,0.05,0.25,0.15,0,-0.0042276,0.0021682,0,0.0025447
0,0.05,0.3,0.15,0,-0.0052622,0.0021105,0,0.0049071
0,0.05,0.35,0.15,0,-0.0062623,0.0020279,0,0.0079545
0,0.05,0.4,0.15,0,-0.0072182,0.0019286,0,0.011662
0,0.05,0.45,0.15,0,-0.0081227,0.0018155,0,0.016001
0,0.05,0.5,0.15,0,-0.0089693,0.0016902,0,0.020935
0,0.05,0.55,0.15,0,-0.0097525,0.0015536,0,0.026426
0,0.05,0.6,0.15,0,-0.010467,0.001407,0,0.03243
0,0.05,0.65,0.15,0,-0.011109,0.0012514,0,0.038901
0,0.05,0.7,0.15,0,-0.011673,0.0010879,0,0.045786
0,0.05,0.75,0.15,0,-0.012156,0.00091758,0,0.053034
0,0.05,0.8,0.15,0,-0.012556,0.00074164,0,0.060588
0,0.05,0.85,0.15,0,-0.01287,0.00056118,0,0.06839
0,0.05,0.9,0.15,0,-0.013096,0.00037732,0,0.076381
0,0.05,0.95,0.15,0,-0.013233,0.00019115,0,0.0845
0,0.05,1,0.15,0,-0.01328,3.7756e-06,0,0.092685
0,0.05,1.05,0.15,0,-0.013236,-0.0001837,0,0.10087
0,0.05,1.1,0.15,0,-0.013102,-0.00037018,0,0.10901
0,0.05,1.15,0.15,0,-0.012879,-0.00055454,0,0.11701
0,0.05,1.2,0.15,0,-0.012568,-0.00073568,0,0.12484
0,0.05,1.25,0.15,0,-0.01217,-0.00091246,0,0.13243
0,0.05,1.3,0.15,0,-0.011689,-0.0010837,0,0.13971
0,0.05,1.35,0.15,0,-0.011126,-0.0012484,0,0.14664
0,0.05,1.4,0.15,0,-0.010485,-0.0014052,0,0.15315
0,0.05,1.45,0.15,0,-0.0097713,-0.001553,0,0.1592
0,0.05,1.5,0.15,0,-0.0089881,-0.0016908,0,0.16474
0,0.05,1.55,0.15,0,-0.0081409,-0.0018174,0,0.16972
0,0.05,1.6,0.15,0,-0.0072353,-0.0019317,0,0.1741
0,0.05,1.65,0.15,0,-0.0062777,-0.0020322,0,0.17785
0,0.05,1.7,0.15,0,-0.0052756,-0.0021159,0,0.18093
0,0.05,1.75,0.15,0,-0.0042385,-0.0021744,0,0.18333
0,0.05,1.8,0.15,0,-0.0031812,-0.0021847,0,0.18502
0,0.05,1.85,0.15,0,-0.0021295,-0.0020901,0,0.18601
0,0.05,1.9,0.15,0,-0.0011465,-0.0017794,0,0.18627
0,0.05,1.95,0.15,0,-0.00040881,-0.0011031,0,0.18565
0,0.05,2,0.15,0,0,0,0,0.18509
0,0.05,0,0.2,0,0,0,0,-1.4098e-05
0,0.05,0.05,0.2,0,-0.00044193,0.0017076,0,-0.00063434
0,0.05,0.1,0.2,0,-0.0012374,0.002699,0,-0.001335
0,0.05,0.15,0.2,0,-0.0022934,0.0031457,0,-0.0011017
0,0.05,0.2,0.2,0,-0.0034186,0.0032804,0,-0.00012508
0,0.05,0.25,0.2,0,-0.0045474,0.0032639,0,0.0015563
0,0.05,0.3,0.2,0,-0.0056537,0.0031771,0,0.003945
0,0.05,0.35,0.2,0,-0.0067225,0.0030529,0,0.0070261
0,0.05,0.4,0.2,0,-0.0077438,0.0029033,0,0.010775
0,0.05,0.45,0.2,0,-0.0087098,0.0027329,0,0.01516
0,0.05,0.5,0.2,0,-0.0096139,0.0025439,0,0.020148
0,0.05,0.55,0.2,0,-0.01045,0.0023382,0,0.025699
0,0.05,0.6,0.2,0,-0.011213,0.0021172,0,0.031768
0,0.05,0.65,0.2,0,-0.011897,0.0018827,0,0.038308
0,0.05,0.7,0.2,0,-0.012499,0.0016365,0,0.045268
0,0.05,0.75,0.2,0,-0.013014,0.0013801,0,0.052594
0,0.05,0.8,0.2,0,-0.013441,0.0011153,0,0.06023
0,0.05,0.85,0.2,0,-0.013775,0.00084381,0,0.068116
0,0.05,0.9,0.2,0,-0.014016,0.00056721,0,0.076194
0,0.05,0.95,0.2,0,-0.014162,0.00028719,0,0.084401
0,0.05,1,0.2,0,-0.014212,5.3803e-06,0,0.092675
0,0.05,1.05,0.2,0,-0.014165,-0.00027657,0,0.10095
0,0.05,1.1,0.2,0,-0.014023,-0.00055703,0,0.10917
0,0.05,1.15,0.2,0,-0.013785,-0.00083435,0,0.11727
0,0.05,1.2,0.2,0,-0.013453,-0.0011068,0,0.12518
0,0.05,1.25,0.2,0,-0.013029,-0.0013728,0,0.13285
0,0.05,1.3,0.2,0,-0.012516,-0.0016306,0,0.14022
0,0.05,1.35,0.2,0,-0.011915,-0.0018784,0,0.14722
0,0.05,1.4,0.2,0,-0.011232,-0.0021146,0,0.1538
0,0.05,1.45,0.2,0,-0.01047,-0.0023373,0,0.15992
0,0.05,1.5,0.2,0,-0.0096337,-0.0025449,0,0.16552
0,0.05,1.55,0.2,0,-0.008729,-0.0027357,0,0.17056
0,0.05,1.6,0.2,0,-0.0077618,-0.0029079,0,0.17499
0,0.05,1.65,0.2,0,-0.0067387,-0.0030591,0,0.17878
0,0.05,1.7,0.2,0,-0.0056677,-0.0031848,0,0.1819
0,0.05,1.75,0.2,0,-0.0045588,-0.0032728,0,0.18432
0,0.05,1.8,0.2,0,-0.0034272,-0.00329,0,0.18603
0,0.05,1.85,0.2,0,-0.0022991,-0.0031552,0,0.18702
0,0.05,1.9,0.2,0,-0.0012405,-0.0027071,0,0.18727
0,0.05,1.95,0.2,0,-0.00044308,-0.0017125,0,0.18657
0,0.05,2,0.2,0,0,0,0,0.18595
0,0.05,0,0.25,0,0,0,0,-0.0016365
0,0.05,0.05,0.25,0,-0.00045951,0.0023459,0,-0.0022947
0,0.05,0.1,0.25,0,-0.0012902,0.0036704,0,-0.0030463
0,0.05,0.15,0.25,0,-0.002393,0.0042583,0,-0.0028246
0,0.05,0.2,0.25,0,-0.0035665,0.0044325,0,-0.0018363
0,0.05,0.25,0.25,0,-0.0047421,0.0044075,0,-0.00012644
0,0.05,0.3,0.25,0,-0.0058935,0.0042894,0,0.0023058
0,0.05,0.35,0.25,0,-0.0070051,0.0041213,0,0.005444
0,0.05,0.4,0.25,0,-0.0080668,0.003919,0,0.0092622
0,0.05,0.45,0.25,0,-0.0090707,0.0036886,0,0.013729
0,0.05,0.5,0.25,0,-0.01001,0.003433,0,0.01881
0,0.05,0.55,0.25,0,-0.010878,0.0031548,0,0.024463
0,0.05,0.6,0.25,0,-0.011669,0.0028562,0,0.030644
0,0.05,0.65,0.25,0,-0.01238,0.0025396,0,0.037304
0,0.05,0.7,0.25,0,-0.013004,0.0022071,0,0.044392
0,0.05,0.75,0.25,0,-0.013538,0.0018611,0,0.051851
0,0.05,0.8,0.25,0,-0.01398,0.0015038,0,0.059626
0,0.05,0.85,0.25,0,-0.014327,0.0011376,0,0.067656
0,0.05,0.9,0.25,0,-0.014577,0.00076458,0,0.07588
0,0.05,0.95,0.25,0,-0.014728,0.00038702,0,0.084236
0,0.05,1,0.25,0,-0.01478,7.0865e-06,0,0.09266
0,0.05,1.05,0.25,0,-0.014732,-0.00037304,0,0.10109
0,0.05,1.1,0.25,0,-0.014584,-0.00075117,0,0.10946
0,0.05,1.15,0.25,0,-0.014338,-0.0011251,0,0.1177
0,0.05,1.2,0.25,0,-0.013994,-0.0014926,0,0.12576
0,0.05,1.25,0.25,0,-0.013554,-0.0018515,0,0.13357
0,0.05,1.3,0.25,0,-0.013022,-0.0021993,0,0.14107
0,0.05,1.35,0.25,0,-0.012399,-0.0025339,0,0.1482
0,0.05,1.4,0.25,0,-0.011691,-0.0028528,0,0.15491
0,0.05,1.45,0.25,0,-0.010899,-0.0031538,0,0.16115
0,0.05,1.5,0.25,0,-0.010031,-0.0034344,0,0.16685
0,0.05,1.55,0.25,0,-0.0090915,-0.0036923,0,0.17198
0,0.05,1.6,0.25,0,-0.0080864,-0.0039251,0,0.1765
