% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Mar 21 2023, 01:53"
% Dimension,2
% Nodes,1923
% Expressions,3
% Description,"压力, 速度场，x 分量, 速度场，y 分量"
% Length unit,m
% x,y,p (Pa),u (m/s),v (m/s)
0,0.03190468907756971,1.8095623597929364,1,0
0,0.014159287247184332,2.518665504115336,1,0
0.022377667280912568,0.024268259749422753,1.8160007610054092,1.0288004941582038,0.19675207257195124
0,0.9698715334831002,1.7468500691810946,0.9999999999999999,0
0.025736341826854657,0.9756375871293134,1.6850242467535383,1.0141918347926833,-0.21805590316236595
0,0.9852054515779399,2.4392626197145666,1,0
0.03492211939780479,0.04099251637105527,1.5408626163419021,1.0731992733424747,0.24242584074936205
0,0.05374185022264702,1.5195477660157823,1,0
0,0.9449918381375586,1.4173429246624423,0.9999999999999999,0
0.032749040381065596,0.9602255630947583,1.4607019822449308,1.0702873094188836,-0.22990788841949805
0,0.0837625299971082,1.358800143051526,1,0
0.03867901720411804,0.07266788177794976,1.3781785329819431,1.0566039716784188,0.16948323596648407
0,0.9152620229614125,1.2654666005009356,1,0
0.0445980366300409,0.9314336492024802,1.2905921354087082,1.0797786508140081,-0.19392579555733883
0.0438624074452354,0.11999045540806481,1.252736094883948,1.0252573908371658,0.09717253462200513
0,0.1475348542207098,1.2146313762437626,1,0
0.046712408480702614,0.1777413386305213,1.1721754163155336,1.0122499586017477,0.05510368234442584
0,0.2113071784443114,1.1441212212303171,1,0
0.05222276265606241,0.26135557864046255,1.104339405733975,1.0053926165546143,0.03313546766166265
0,0.2935372063342447,1.0887990590826715,1,0
0.052530782790759525,0.3332726397277239,1.0690387859707302,1.0030376223544746,0.02200744282213371
0,0.3671610228709601,1.057734379258943,1,0
0.05308894496492674,0.3994860223500886,1.046377325327514,1.0023201902773833,0.015390486337319138
0,0.43357934774185586,1.038682937819489,1,0
0.0535187338637237,0.46616684385786,1.0307399563098452,1.002114278995747,0.009920083941991528
0,0.5000012365662102,1.0264692915611382,1,0
0,0.8661639837658766,1.1538339328227436,1,0
0.04494668954385741,0.8855761847987628,1.1760879755745233,1.0294371394422972,-0.0995333459636182
0.047372499546899885,0.8204539586292455,1.0933094553172824,1.0126554687809455,-0.04664760752572939
0,0.7847662016702938,1.0708950687584322,1,0
0.05367871830347982,0.5328066920098763,1.0216923491576786,1.002205321722334,0.004544652452143067
0,0.5664231751653911,1.0209316834188722,1,0
0.05371314184299911,0.5995239508197135,1.0194773476128416,1.0025901914927873,-0.0015166777872846462
0,0.6328417796304271,1.0227585794713232,1,0
0.053096599680732035,0.6658108105832482,1.025215703408515,1.0034944800689727,-0.00922298855562832
0,0.7082636324371103,1.036613423016852,1,0
0.05269278121946722,0.7368034528989209,1.0433140603624054,1.0059014699043767,-0.02158901937041435
3,0.9683653342483209,0.026196772256699637,0.1272670167428016,0.047998748860431255
3,0.9858221875640819,0.05173287248124243,0.06403622432688698,0.01880634340071911
2.977611375810221,0.9757332293406165,0.010141405483545,0.0800489573162129,0.00746576801111491
2.9652187747444674,0.9586892488214216,-0.006322597668652273,0.1534215555717002,-0.006123986573226546
3,0.9472951374537716,0.0036127222798771987,0.21062544751158327,0.06169586612555248
3,0.9189982537016453,-0.013510481270497329,0.33949953003990035,0.06585619330896045
2.9615952010807227,0.9271830165406297,-0.014159510624538048,0.30672077642300116,-0.011842082792082056
3,0.8650984916145746,-0.014562049339350498,0.6080779597018843,0.0429714873729797
2.9577402638856736,0.8854527483111531,-0.021807003623451563,0.5221596702095237,-0.022274328669744676
2.953976408027877,0.8205989634532701,-0.02116359806436385,0.8475874548852497,-0.044239276140284174
3,0.7865909669065995,-0.008427044084209773,0.9860571755025397,-0.011122160388983005
2.948765114047319,0.7396338292888753,-0.016426225020335278,1.2096248679833328,-0.0767255745938006
3,0.708861018444956,-0.0034807050303709117,1.3064311519013843,-0.059735506383255955
2.9469939126779168,0.6659270448368296,-0.011391474306688904,1.463091079317446,-0.10771293278553785
3,0.632838972334731,0.0012667866838321385,1.5291730652645945,-0.1029669063756354
2.9464119489849363,0.5998975731969515,-0.007976553862144119,1.601191172619549,-0.12944992749975204
2.9999999999999996,0.5664207047989631,0.0026328164322765566,1.6276381137576366,-0.13067232475690616
2.946389603605421,0.5333061070561876,-0.004610065608249416,1.651913378977684,-0.14405940684518023
3,0.49999885500474833,0.0051732276641268705,1.643285612547824,-0.14868190451988225
2.9464986682654164,0.466659010662828,-0.0017171265770216722,1.6220654885146921,-0.15122466685026506
3,0.4335769307419579,0.0068502276866118025,1.5802035957619627,-0.15971458094509505
2.946622367975038,0.40022120498915886,7.503309876146252E-4,1.511551913889433,-0.14933281214698682
3.0000000000000004,0.36715828672605194,0.009179157510404143,1.438741900392501,-0.16277026404713868
2.946839348386515,0.33397844544599126,0.0029523455696437817,1.3265038580963848,-0.13817191636620973
3,0.29189579878207306,0.008579723712426102,1.1947058214256705,-0.1576872303344917
2.9470052849745954,0.26406787792592745,0.003974932789978381,1.0676383261123128,-0.11544560273734829
3,0.21560304427845411,0.006783804733105785,0.8927622829729618,-0.13894292234365427
2.950704246153705,0.18031413952704115,0.0028711572920227246,0.726206086232459,-0.07565180353607133
3,0.14152563140158925,0.002971476310361608,0.5894595986011123,-0.11832521731176991
2.9536121324011386,0.11505455443316856,0.0027015403250463563,0.4633905516950411,-0.0393164976091922
3,0.0851747213215791,0.0018602642847368154,0.3649105071371534,-0.09776168160263421
3,0.05416211325746878,0.014507456292767526,0.24590191725904173,-0.07971825181904925
2.954885990980636,0.06908133762009132,0.00818513275381111,0.2801304782351605,-0.01431328301537091
3,0.03204561018211993,0.03353224215914425,0.1612545337810157,-0.057102815508986354
2.969727982029111,0.0358798232192577,0.015382064665364686,0.1467278663225833,-0.01146023099539305
2.974477131171399,0.023601678644781642,0.026237043556034047,0.09506489955741876,-0.009444492789102128
3,0.014377159601151844,0.058228418901471186,0.08866904183009476,-0.02379379188995477
0.04292145577360173,0.02483755581010811,1.6057933268313231,0.984921829753498,0.22510891289457077
0.034480281157524904,0.014159287247184328,1.7462216450852033,0.8296696486757946,0.19463608419743955
0.0689604013422979,0.014618997182336167,1.2657025425043373,0.543122699597481,0.041167422371040124
0.03488372093023252,0.9852054515779399,1.6548483133228173,0.8463766189127009,-0.19426033577798116
0.060979947833669744,0.9752595691516095,1.2964382239648058,0.8862816512401303,-0.15866272789881822
0.06976744186046505,0.9848321309819925,1.1440050616976034,0.5608799830983486,-0.04684070618323893
0.07460907495903747,0.02440912439592951,1.2529924026651882,0.7667370444796185,0.0896336118781647
0.10343988115323867,0.015100472689435537,1.1666598582448084,0.40532983154424806,0.022750791954037737
0.06873100446061362,0.035453696866587156,1.3308011599072467,0.9943656916825432,0.1823931809488759
0.10767223024873672,0.025864730170730543,1.1795755402272474,0.6375899762791346,0.05720239994789989
0.1379182256237573,0.015546470758216312,1.0950093931242204,0.3396614248886418,0.016164812066147154
0.14164350477309906,0.026810278634999445,1.110842036965197,0.5490007752580195,0.04203211526612088
0.17239483772203312,0.015945385473111036,1.0682403486918914,0.2935168372209966,0.009276206075720135
0.09525919570322307,0.9738441791619042,1.1137557087050383,0.7116189955444118,-0.06794999162859013
0.10465116279069757,0.9844363763726789,1.0811781361193726,0.42216611131993875,-0.02147189073540926
0.13322085591248886,0.9728148261444891,1.0208448795625358,0.5963219204313682,-0.04524175697896876
0.1395348837209301,0.9840617846866068,0.9982874241362081,0.3568305927382256,-0.016913032931845977
0.0698485142621965,0.9573447205131312,1.2474374863250068,1.0625318539897177,-0.20435961527884763
0.1688887317433182,0.9722291498825757,0.9713492074896174,0.5225969942705474,-0.02962033786985566
0.17441860465116266,0.9837341791059471,0.9610703957468816,0.30989819141678093,-0.010473940382806746
0.1772759560117106,0.02743161263122707,1.078016814712064,0.48343619217661454,0.025534565312434577
0.20686895286451198,0.016300927243952344,1.050707557529182,0.2676898484093871,0.0063642425322510505
0.210798738107239,0.027997854988137783,1.0569789794692321,0.4435895014980878,0.01853776186525311
0.24133956624593095,0.016620874081735574,1.029008827346916,0.24581919868976487,0.006860937242655227
0.0976920239091314,0.03923221716916381,1.2097352891363562,0.9127075014887222,0.1280522418226898
0.07145748368109164,0.055530419634552325,1.3021352582207413,1.1131927321271728,0.22245597615035595
0.13308633826548572,0.04446501195775331,1.1373981311670895,0.8527910119408233,0.1020330622662481
0.17026253631841334,0.041602696975900924,1.093823904294107,0.715079180353051,0.05993605473776347
0.1046729078457814,0.9587680761384916,1.093644057171905,0.9195066485664211,-0.11425541359516699
0.13944296857044736,0.958535449199909,1.0268962449270511,0.8108104962813883,-0.08379140382998855
0.08473307488674638,0.9380436517791242,1.1592695531105024,1.1110808828561842,-0.20631693739022436
0.2043321286966475,0.9713390464906947,0.94371795033458,0.48181705512497436,-0.018278648745865208
0.20930232558139517,0.9834295374604548,0.935434472761758,0.28362331914729827,-0.00604289644279788
0.17625040149487464,0.95808302459933,0.978983587105925,0.7259691558620198,-0.05551492969583443
0.23923715525551126,0.9708265617236642,0.9171515396187279,0.4512885830711384,-0.01547459722173381
0.24418604651162773,0.9831393988011374,0.9097835989709819,0.26590859325947475,-0.005425845971542737
0.2746470691439125,0.9706579466068457,0.8918314706168652,0.42009649858610576,-0.01245565697992485
0.27906976744186024,0.9828878831841871,0.886330960064579,0.25004439239370063,-0.0045278930736605124
0.20409563571433204,0.042366297760099626,1.0673229886021456,0.6555902057333248,0.0423293452363469
0.24489163977976142,0.028394709662325487,1.0332106640832082,0.40512759543854543,0.018748377837387652
0.27580536774790215,0.01690656625156317,1.0173199671378084,0.22524604623390773,0.005451890493396726
0.23778878456014477,0.04226975260538184,1.042060533650927,0.5937018823126811,0.04039406222435363
0.2787780969771694,0.02925198497327162,1.0222228501293003,0.3797001357342453,0.015085948735878511
0.3102646823423553,0.017151180655642754,1.0064596063333635,0.20907029994336063,0.004542836640745681
0.11324309066892035,0.06639796605491434,1.18536309964764,1.0968290782332575,0.18057308678334852
0.08345329533090416,0.09297601887397705,1.2317945649718955,1.1164922868282279,0.1926265910198952
0.15480663265090078,0.0673710146909236,1.130324671477594,1.0341833036922283,0.1393838983268542
0.18716252669224095,0.06066397705868152,1.088578284589093,0.8997118203818907,0.09043662457723112
0.15964924328063168,0.9327056961659916,1.015955183172075,1.0345726091495742,-0.12642563401650309
0.11899574986400856,0.9321109289563821,1.0690561193771504,1.0945282912292125,-0.1656760725624867
0.08822528948878887,0.905472618744598,1.1307354476917528,1.1296306885976104,-0.18820598969860214
0.21211042735236757,0.9563222472542341,0.9475537503989103,0.6869790950028819,-0.036989226981106356
0.1930925965338653,0.9369583008469606,0.973739238028411,0.9344310545973172,-0.0840404890351971
0.24741407325690695,0.9542544676517317,0.915781494730931,0.6564796889222465,-0.036656031344422156
0.3099722797510527,0.9699086610776738,0.8718476934709708,0.40508565563435767,-0.009929403591086015
0.3139534883720928,0.9826833146734993,0.8671652933947481,0.23810709882847197,-0.003395789676821395
0.28231424649686276,0.9548020627248384,0.8937016768858443,0.611595191740493,-0.024959162564397397
0.21945923883967683,0.06945913220010692,1.0578886201037412,0.909440074037982,0.09428517007484649
0.2728916633319195,0.04372952351498617,1.0279866005971723,0.5593430327087298,0.03269153421021775
0.25377107441917585,0.06198135923077104,1.0403901049086373,0.7803729106795089,0.06739601390737618
0.314163512549935,0.029588124356216765,1.009986128722458,0.3520053015688461,0.012784620019026397
0.3447153603937403,0.017351482197050364,1.0015079910244724,0.19579264363633714,0.0034884334070822585
0.3068946302263386,0.04390648341614237,1.0155580987647757,0.5185514648566234,0.027960942572625016
0.34803275227484815,0.030097125268661866,1.0050213671695971,0.3335399080045322,0.01010202270882913
0.37915466126728825,0.01750801382201944,0.9947818463799747,0.18435033167095113,0.003443169694782762
